# 사람이 읽고 「약속은 옳다」고 판정한 자리 (check-promises.py)
#
# 이 검사는 「N장에서 다룬다」고 했으면 N장에 정말 그 이야기가 있는지 묻는다.
# 그런데 판정 수단이 *낱말 대조*뿐이라, 약속이 옳아도 그 낱말이 대상 장에
# 글자 그대로 없으면 걸린다 --- 「16장의 헬로 월드가 남기는 종료 상태」는
# 참이지만 16장은 그것을 「퇴장 인사」라 부른다.
#
# ★ 여기 오르는 것은 「고치기 귀찮은 것」이 아니라 **사람이 대상 장을 열어
#   확인한 것**뿐이다. 확인하지 않았다면 올리지 않는다 --- 그 순간 이 검사는
#   다시 잠든다. 실제로 이 도구는 그렇게 한 번 잠들어 있었다.
#
# 형식: 출발장<TAB>대상장<TAB>낱말<TAB>왜 옳은가
# 약속 문장이 바뀌어 더 걸리지 않게 되면 그 줄은 *낡은 것*으로 보고한다.
6	27	시프트	「27장 이후」라는 범위 약속이다 --- 시프트 자체는 29장(정수의 연산)에 있다
7	52	출처	52장은 「실수 --- 근사의 수학」이고, 이 표의 성질들이 거기서 다뤄진다
8	12	문자열	12장은 캐시의 장이다. 문자열 성능을 *설명하는 지식*이 거기 있다는 약속이다
10	16	종료 상태	16장은 그것을 「퇴장 인사」라 부르며 `return 0;` 으로 보인다
10	5	프로세스	5장은 「기억의 구역들」이다. 네 구역이 프로세스마다 따로라는 것이 약속의 내용
23	6	함수	6장에서 만난 것은 *정의되지 않은 동작*이라는 개념이고, 여기서 함수에 적용한다
33	32	while	32장(if 와 switch)이 조건을 다루므로 루프의 괄호 안을 설명할 수 있다는 뜻
37	24	포인터	24장은 「변수 선언」이고, 그 초기화 규칙이 포인터에서 더 엄해진다는 약속
49	7	실수 타입	7장은 IEEE 754 의 장이다. 거기서 배운 근사가 C 의 실수 타입이 된다
57	13	손잡이	13장의 「사다리」를 가리키는 약속이다 --- 손잡이는 57장 쪽 낱말이다
98	95	도구	95장은 「문자열과 텍스트」이고, 그 도구들이 버퍼+길이 쌍에 쓰인다
